"nace_r2","Country","Year","consumption_of_capital","Output","intermediate_consumption","wages_and_salaries","real_labour_productivity","bankruptcy_declarations_index","Registrations"
"Agriculture, forestry and fishing","Austria",1995,95.716,84.365,86.846,NA,46.629,NA,NA
"Agriculture, forestry and fishing","Austria",1996,95.555,84.699,88.976,NA,47.988,NA,NA
"Agriculture, forestry and fishing","Austria",1997,95.834,87.588,91.775,NA,51.017,NA,NA
"Agriculture, forestry and fishing","Austria",1998,96.21,88.205,89.458,NA,55.259,NA,NA
"Agriculture, forestry and fishing","Austria",1999,96.292,90.905,89.741,NA,59.71,NA,NA
"Agriculture, forestry and fishing","Austria",2000,96.071,86.414,85.8,NA,58.506,NA,NA
"Agriculture, forestry and fishing","Austria",2001,95.669,87.969,88.203,NA,59.233,NA,NA
"Agriculture, forestry and fishing","Austria",2002,95.04,88.834,91.375,NA,59.237,NA,NA
"Agriculture, forestry and fishing","Austria",2003,94.134,87.111,91.459,NA,56.893,NA,NA
"Agriculture, forestry and fishing","Austria",2004,93.611,90.222,89.622,NA,64.641,NA,NA
"Agriculture, forestry and fishing","Austria",2005,93.833,89.411,89.219,NA,64.613,NA,NA
"Agriculture, forestry and fishing","Austria",2006,94.344,89.599,90.673,NA,65.634,NA,NA
"Agriculture, forestry and fishing","Austria",2007,94.988,95.343,92.921,NA,73.742,NA,NA
"Agriculture, forestry and fishing","Austria",2008,96.076,99.018,93.504,NA,80.424,NA,NA
"Agriculture, forestry and fishing","Austria",2009,97.129,94.04,90.356,NA,75.778,NA,NA
"Agriculture, forestry and fishing","Austria",2010,97.864,93.082,92.771,NA,72.065,NA,NA
"Agriculture, forestry and fishing","Austria",2011,98.721,99.5,93.048,NA,84.424,NA,NA
"Agriculture, forestry and fishing","Austria",2012,99.762,94.681,89.887,NA,83.495,NA,NA
"Agriculture, forestry and fishing","Austria",2013,100.852,91.694,89.766,NA,78.712,NA,NA
"Agriculture, forestry and fishing","Austria",2014,101.196,96.188,92.133,NA,82.213,NA,NA
"Agriculture, forestry and fishing","Austria",2015,100.565,94.586,92.375,NA,84.138,NA,NA
"Agriculture, forestry and fishing","Austria",2016,99.576,97.268,93.407,NA,90.958,NA,NA
"Agriculture, forestry and fishing","Austria",2017,98.853,97.601,94.728,NA,92.335,NA,NA
"Agriculture, forestry and fishing","Austria",2018,98.68,99.847,96.483,NA,101.472,NA,NA
"Agriculture, forestry and fishing","Austria",2019,99.05,100.39,98.455,NA,105.127,NA,NA
"Agriculture, forestry and fishing","Austria",2020,100,100,100,NA,100,NA,NA
"Agriculture, forestry and fishing","Austria",2021,103.023,102.535,99.821,NA,103.611,NA,NA
"Agriculture, forestry and fishing","Austria",2022,105.991,104.01,97.143,NA,114.613,NA,NA
"Agriculture, forestry and fishing","Austria",2023,107.539,102.014,95.89,NA,120.773,NA,NA
"Agriculture, forestry and fishing","Belgium",1995,85.127,68.144,70.791,NA,44.248,NA,NA
"Agriculture, forestry and fishing","Belgium",1996,82.776,69.453,73.021,NA,45.575,NA,NA
"Agriculture, forestry and fishing","Belgium",1997,81.829,70.555,73.58,NA,47.929,NA,NA
"Agriculture, forestry and fishing","Belgium",1998,80.444,70.093,71.166,NA,49.884,NA,NA
"Agriculture, forestry and fishing","Belgium",1999,78.666,69.954,70.599,NA,50.948,NA,NA
"Agriculture, forestry and fishing","Belgium",2000,76.735,72.668,72.088,NA,55.876,NA,NA
"Agriculture, forestry and fishing","Belgium",2001,73.944,68.952,69.398,NA,53.289,NA,NA
"Agriculture, forestry and fishing","Belgium",2002,71.095,73.879,72.921,NA,60.044,NA,NA
"Agriculture, forestry and fishing","Belgium",2003,70.197,73.541,73.845,NA,58.677,NA,NA
"Agriculture, forestry and fishing","Belgium",2004,69.069,77.822,77.523,NA,63.647,NA,NA
"Agriculture, forestry and fishing","Belgium",2005,67.912,74.227,73.008,NA,62.414,NA,NA
"Agriculture, forestry and fishing","Belgium",2006,67.874,74.855,70.439,NA,69.725,NA,NA
"Agriculture, forestry and fishing","Belgium",2007,70.656,75.6,71.679,NA,71.101,NA,NA
"Agriculture, forestry and fishing","Belgium",2008,74.345,77.693,74.569,NA,73.287,NA,NA
"Agriculture, forestry and fishing","Belgium",2009,63.324,81.478,78.192,NA,79.397,NA,NA
"Agriculture, forestry and fishing","Belgium",2010,70.531,83.641,78.244,NA,90.741,NA,NA
"Agriculture, forestry and fishing","Belgium",2011,78.819,86.506,82.074,NA,94.621,NA,NA
"Agriculture, forestry and fishing","Belgium",2012,87.345,86.392,81.272,NA,97.745,NA,NA
"Agriculture, forestry and fishing","Belgium",2013,92.353,85.229,82.871,NA,91.006,NA,NA
"Agriculture, forestry and fishing","Belgium",2014,94.619,90.849,87.999,NA,98.405,NA,NA
"Agriculture, forestry and fishing","Belgium",2015,89.17,96.118,89.75,NA,112.483,NA,NA
"Agriculture, forestry and fishing","Belgium",2016,92.525,96.739,93.573,NA,105.263,NA,NA
"Agriculture, forestry and fishing","Belgium",2017,95.249,98.252,93.762,NA,111.696,NA,NA
"Agriculture, forestry and fishing","Belgium",2018,97.352,93.845,91.528,NA,100.812,NA,NA
"Agriculture, forestry and fishing","Belgium",2019,98.413,96.603,93.611,NA,104.668,NA,NA
"Agriculture, forestry and fishing","Belgium",2020,100,100,100,NA,100,NA,NA
"Agriculture, forestry and fishing","Belgium",2021,102.753,101.246,102.147,NA,97.909,NA,NA
"Agriculture, forestry and fishing","Belgium",2022,105.926,98.12,97.493,NA,100.067,NA,NA
"Agriculture, forestry and fishing","Belgium",2023,109.797,95.624,93.35,NA,104.278,NA,NA
"Agriculture, forestry and fishing","Bulgaria",1995,12.673,NA,NA,NA,89.786,NA,NA
"Agriculture, forestry and fishing","Bulgaria",1996,22.289,NA,NA,NA,82.614,NA,NA
"Agriculture, forestry and fishing","Bulgaria",1997,82.474,NA,NA,NA,121.552,NA,NA
"Agriculture, forestry and fishing","Bulgaria",1998,44.702,NA,NA,NA,95.121,NA,NA
"Agriculture, forestry and fishing","Bulgaria",1999,54.165,NA,NA,NA,96.075,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2000,41.971,NA,NA,NA,87.431,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2001,14.028,NA,NA,NA,89.357,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2002,16.422,NA,NA,NA,94.419,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2003,19.571,NA,NA,NA,93.636,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2004,23.647,NA,NA,NA,97.824,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2005,26.532,NA,NA,NA,90.876,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2006,28.628,NA,NA,NA,91.282,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2007,30.469,NA,NA,NA,67.382,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2008,35.309,NA,NA,NA,87.273,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2009,48.549,NA,NA,NA,79.511,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2010,58.299,NA,NA,NA,73.494,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2011,67.609,NA,NA,NA,80.05,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2012,75.295,NA,NA,NA,75.691,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2013,84.884,NA,NA,NA,77.547,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2014,91.814,NA,NA,NA,81.719,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2015,100.117,NA,NA,NA,77.328,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2016,107.659,NA,NA,NA,86.301,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2017,102.661,NA,NA,NA,87.98,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2018,100.792,NA,NA,NA,92,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2019,98.379,NA,NA,NA,104.612,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2020,100,NA,NA,NA,100,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2021,99.825,NA,NA,NA,139.236,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2022,95.581,NA,NA,NA,131.843,NA,NA
"Agriculture, forestry and fishing","Bulgaria",2023,97.38,NA,NA,NA,112.678,NA,NA
"Agriculture, forestry and fishing","Cyprus",1995,125.721,NA,NA,NA,103.626,NA,NA
"Agriculture, forestry and fishing","Cyprus",1996,128.592,NA,NA,NA,112.192,NA,NA
"Agriculture, forestry and fishing","Cyprus",1997,130.847,NA,NA,NA,103.418,NA,NA
"Agriculture, forestry and fishing","Cyprus",1998,132.827,NA,NA,NA,118.873,NA,NA
"Agriculture, forestry and fishing","Cyprus",1999,135.696,NA,NA,NA,126.901,NA,NA
"Agriculture, forestry and fishing","Cyprus",2000,138.586,NA,NA,NA,123.394,NA,NA
"Agriculture, forestry and fishing","Cyprus",2001,141.491,NA,NA,NA,136.028,NA,NA
"Agriculture, forestry and fishing","Cyprus",2002,144.424,NA,NA,NA,128.874,NA,NA
"Agriculture, forestry and fishing","Cyprus",2003,147.166,NA,NA,NA,126.715,NA,NA
"Agriculture, forestry and fishing","Cyprus",2004,149.43,NA,NA,NA,126.028,NA,NA
"Agriculture, forestry and fishing","Cyprus",2005,150.91,NA,NA,NA,125.632,NA,NA
"Agriculture, forestry and fishing","Cyprus",2006,152.475,NA,NA,NA,127.436,NA,NA
"Agriculture, forestry and fishing","Cyprus",2007,152.539,NA,NA,NA,109.445,NA,NA
"Agriculture, forestry and fishing","Cyprus",2008,150.674,NA,NA,NA,101.986,NA,NA
"Agriculture, forestry and fishing","Cyprus",2009,148.298,NA,NA,NA,90.806,NA,NA
"Agriculture, forestry and fishing","Cyprus",2010,143.568,NA,NA,NA,99.408,NA,NA
"Agriculture, forestry and fishing","Cyprus",2011,140.441,NA,NA,NA,104.586,NA,NA
"Agriculture, forestry and fishing","Cyprus",2012,136.188,NA,NA,NA,106.878,NA,NA
"Agriculture, forestry and fishing","Cyprus",2013,136.778,NA,NA,NA,105.877,NA,NA
"Agriculture, forestry and fishing","Cyprus",2014,126.031,NA,NA,NA,95.631,NA,NA
"Agriculture, forestry and fishing","Cyprus",2015,115.286,NA,NA,NA,96.264,NA,NA
"Agriculture, forestry and fishing","Cyprus",2016,111.169,NA,NA,NA,108.363,NA,NA
"Agriculture, forestry and fishing","Cyprus",2017,105.701,NA,NA,NA,102.286,NA,NA
"Agriculture, forestry and fishing","Cyprus",2018,103.835,NA,NA,NA,101.574,NA,NA
"Agriculture, forestry and fishing","Cyprus",2019,104.805,NA,NA,NA,104.253,NA,NA
"Agriculture, forestry and fishing","Cyprus",2020,100,NA,NA,NA,100,NA,NA
"Agriculture, forestry and fishing","Cyprus",2021,97.566,NA,NA,NA,94.517,NA,NA
"Agriculture, forestry and fishing","Cyprus",2022,96.038,NA,NA,NA,77.332,NA,NA
"Agriculture, forestry and fishing","Cyprus",2023,95.603,NA,NA,NA,77.643,NA,NA
"Agriculture, forestry and fishing","Czechia",1995,57.003,71.291,67.793,NA,47.098,NA,NA
"Agriculture, forestry and fishing","Czechia",1996,59.973,72.104,70.681,NA,46.085,NA,NA
"Agriculture, forestry and fishing","Czechia",1997,60.299,68.748,69.388,NA,45.186,NA,NA
"Agriculture, forestry and fishing","Czechia",1998,59.425,68.285,66.831,NA,46.493,NA,NA
"Agriculture, forestry and fishing","Czechia",1999,57.157,68.184,66.121,NA,51.262,NA,NA
"Agriculture, forestry and fishing","Czechia",2000,57.47,68.821,66.335,NA,53.252,NA,NA
"Agriculture, forestry and fishing","Czechia",2001,58.078,69.056,66.558,NA,53.407,NA,NA
"Agriculture, forestry and fishing","Czechia",2002,58.438,65.854,63.147,NA,60.387,NA,NA
"Agriculture, forestry and fishing","Czechia",2003,57.451,66.918,63.926,NA,63.761,NA,NA
"Agriculture, forestry and fishing","Czechia",2004,57.025,70.414,63.923,NA,70.041,NA,NA
"Agriculture, forestry and fishing","Czechia",2005,56.69,71.662,61.515,NA,80.27,NA,NA
"Agriculture, forestry and fishing","Czechia",2006,56.712,71.398,64.685,NA,76.676,NA,NA
"Agriculture, forestry and fishing","Czechia",2007,58.097,68.574,71.299,NA,60.851,NA,NA
"Agriculture, forestry and fishing","Czechia",2008,59.816,71.13,75.209,NA,61.688,NA,NA
"Agriculture, forestry and fishing","Czechia",2009,59.569,75.651,69.377,NA,80.227,NA,NA
"Agriculture, forestry and fishing","Czechia",2010,60.822,70.601,70.199,NA,70.31,NA,NA
"Agriculture, forestry and fishing","Czechia",2011,63.049,76.262,81.204,NA,61.838,NA,NA
"Agriculture, forestry and fishing","Czechia",2012,66.317,76.389,77.731,NA,67.712,NA,NA
"Agriculture, forestry and fishing","Czechia",2013,69.675,77.116,79.665,NA,64.945,NA,NA
"Agriculture, forestry and fishing","Czechia",2014,73.431,79.999,80.98,NA,69.9,NA,NA
"Agriculture, forestry and fishing","Czechia",2015,75.894,85.565,85.506,NA,78.253,NA,NA
"Agriculture, forestry and fishing","Czechia",2016,80.395,86.547,84.247,NA,83.561,NA,NA
"Agriculture, forestry and fishing","Czechia",2017,85.123,84.588,83.329,NA,79.346,NA,NA
"Agriculture, forestry and fishing","Czechia",2018,89.947,88.075,87.214,NA,81.484,NA,NA
"Agriculture, forestry and fishing","Czechia",2019,95.097,93.244,93.047,NA,89.224,NA,NA
"Agriculture, forestry and fishing","Czechia",2020,100,100,100,NA,100,NA,NA
"Agriculture, forestry and fishing","Czechia",2021,105.595,95.773,101.548,NA,86.977,NA,NA
"Agriculture, forestry and fishing","Czechia",2022,111.19,91.916,94.498,NA,84.019,NA,NA
"Agriculture, forestry and fishing","Czechia",2023,116.538,94.505,99.372,NA,82.8,NA,NA
"Agriculture, forestry and fishing","Germany",1995,86.79,82.23,76.14,NA,63.634,NA,NA
"Agriculture, forestry and fishing","Germany",1996,87.81,85.42,78.07,NA,71.637,NA,NA
"Agriculture, forestry and fishing","Germany",1997,88.54,86.03,78.56,NA,74.413,NA,NA
"Agriculture, forestry and fishing","Germany",1998,89.2,87.54,81.45,NA,74.967,NA,NA
"Agriculture, forestry and fishing","Germany",1999,90.05,92.16,82.58,NA,82.578,NA,NA
"Agriculture, forestry and fishing","Germany",2000,90.81,92.25,83.77,NA,82.331,NA,NA
"Agriculture, forestry and fishing","Germany",2001,91.39,92.18,88.9,NA,80.244,NA,NA
"Agriculture, forestry and fishing","Germany",2002,91.71,90.05,83.9,NA,82.858,NA,NA
"Agriculture, forestry and fishing","Germany",2003,91.55,90.6,83.6,NA,85.573,NA,NA
"Agriculture, forestry and fishing","Germany",2004,91.1,99.89,83.46,NA,105.563,NA,NA
"Agriculture, forestry and fishing","Germany",2005,91.12,88.47,85.42,NA,80.866,NA,NA
"Agriculture, forestry and fishing","Germany",2006,92.08,88.34,86.07,NA,81.678,NA,NA
"Agriculture, forestry and fishing","Germany",2007,93.34,88.49,86.51,NA,81.299,NA,NA
"Agriculture, forestry and fishing","Germany",2008,94.47,92.38,84.67,NA,92.364,NA,NA
"Agriculture, forestry and fishing","Germany",2009,95.68,91.4,85.26,NA,90.018,NA,NA
"Agriculture, forestry and fishing","Germany",2010,96.16,91.52,86.16,NA,89.844,NA,NA
"Agriculture, forestry and fishing","Germany",2011,97.04,94.49,88.61,NA,92.419,NA,NA
"Agriculture, forestry and fishing","Germany",2012,98.28,93.53,86.89,NA,92.848,NA,NA
"Agriculture, forestry and fishing","Germany",2013,98.77,94.51,90.28,NA,91.341,NA,NA
"Agriculture, forestry and fishing","Germany",2014,99.64,100.37,92.01,NA,102.468,NA,NA
"Agriculture, forestry and fishing","Germany",2015,99.61,96.4,94.73,NA,90.189,NA,NA
"Agriculture, forestry and fishing","Germany",2016,99.82,96.43,92.49,NA,95.281,NA,NA
"Agriculture, forestry and fishing","Germany",2017,98.93,98.13,92.35,NA,102.155,NA,NA
"Agriculture, forestry and fishing","Germany",2018,100.25,94.98,97.42,NA,88.877,NA,NA
"Agriculture, forestry and fishing","Germany",2019,100.2,100.14,100.1,NA,98.006,NA,NA
"Agriculture, forestry and fishing","Germany",2020,100,100,100,NA,100,NA,NA
"Agriculture, forestry and fishing","Germany",2021,99.46,103.79,96.48,NA,115.656,NA,NA
"Agriculture, forestry and fishing","Germany",2022,99.45,99.56,87.8,NA,118.919,NA,NA
"Agriculture, forestry and fishing","Germany",2023,99.52,100.22,88.41,NA,120.519,NA,NA
"Agriculture, forestry and fishing","Denmark",1975,91.553,60.581,82.464,NA,13.341,NA,NA
"Agriculture, forestry and fishing","Denmark",1976,93.831,60.782,89.813,NA,11.904,NA,NA
"Agriculture, forestry and fishing","Denmark",1977,96.612,63.983,88.41,NA,14.1,NA,NA
"Agriculture, forestry and fishing","Denmark",1978,99.534,66.918,93.262,NA,15.101,NA,NA
"Agriculture, forestry and fishing","Denmark",1979,102.333,68.635,96.746,NA,15.772,NA,NA
"Agriculture, forestry and fishing","Denmark",1980,104.927,68.646,96.402,NA,16.528,NA,NA
"Agriculture, forestry and fishing","Denmark",1981,105.074,70.118,93.848,NA,18.816,NA,NA
"Agriculture, forestry and fishing","Denmark",1982,104.69,74.073,97.247,NA,20.593,NA,NA
"Agriculture, forestry and fishing","Denmark",1983,104.829,71.685,96.409,NA,19.409,NA,NA
"Agriculture, forestry and fishing","Denmark",1984,105.292,77.766,96.747,NA,24.027,NA,NA
"Agriculture, forestry and fishing","Denmark",1985,107.779,77.588,97.414,NA,24.318,NA,NA
"Agriculture, forestry and fishing","Denmark",1986,109.839,77.526,97.874,NA,24.976,NA,NA
"Agriculture, forestry and fishing","Denmark",1987,112.031,75.47,100.63,NA,22.886,NA,NA
"Agriculture, forestry and fishing","Denmark",1988,114.191,73.811,95.883,NA,25.272,NA,NA
"Agriculture, forestry and fishing","Denmark",1989,115.766,77.654,94.752,NA,30.413,NA,NA
"Agriculture, forestry and fishing","Denmark",1990,118.114,80.844,97.643,NA,33.924,NA,NA
"Agriculture, forestry and fishing","Denmark",1991,118.207,79.022,94.902,NA,34.176,NA,NA
"Agriculture, forestry and fishing","Denmark",1992,116.286,79.901,94.939,NA,35.748,NA,NA
"Agriculture, forestry and fishing","Denmark",1993,116.986,89.627,98.314,NA,46.879,NA,NA
"Agriculture, forestry and fishing","Denmark",1994,118.84,89.103,95.032,NA,52.229,NA,NA
"Agriculture, forestry and fishing","Denmark",1995,119.185,89.733,92.662,NA,56.398,NA,NA
"Agriculture, forestry and fishing","Denmark",1996,124.223,89.668,90.632,NA,60.306,NA,NA
"Agriculture, forestry and fishing","Denmark",1997,123.114,92.298,92.959,NA,64.512,NA,NA
"Agriculture, forestry and fishing","Denmark",1998,125.491,93.421,93.777,NA,68.127,NA,NA
"Agriculture, forestry and fishing","Denmark",1999,123.924,93.911,95.397,NA,70.663,NA,NA
"Agriculture, forestry and fishing","Denmark",2000,123.576,95.873,93.679,NA,78.817,NA,NA
"Agriculture, forestry and fishing","Denmark",2001,123.144,94.252,88.765,NA,84.078,NA,NA
"Agriculture, forestry and fishing","Denmark",2002,121.532,95.002,93.575,NA,80.13,NA,NA
"Agriculture, forestry and fishing","Denmark",2003,121.2,93.609,91.167,NA,83.245,NA,NA
"Agriculture, forestry and fishing","Denmark",2004,121.217,94.802,91.762,NA,89.542,NA,NA
"Agriculture, forestry and fishing","Denmark",2005,121.252,94.018,93.654,NA,86.763,NA,NA
"Agriculture, forestry and fishing","Denmark",2006,122.699,95.729,94.445,NA,93.554,NA,NA
"Agriculture, forestry and fishing","Denmark",2007,124.398,98.664,95.268,NA,103.183,NA,NA
"Agriculture, forestry and fishing","Denmark",2008,122.074,91.386,95.824,NA,76.257,NA,NA
"Agriculture, forestry and fishing","Denmark",2009,116.769,92.413,98.539,NA,74.508,NA,NA
"Agriculture, forestry and fishing","Denmark",2010,113.506,96.976,95.957,NA,100.388,NA,NA
"Agriculture, forestry and fishing","Denmark",2011,109.804,94.301,97.646,NA,88.824,NA,NA
"Agriculture, forestry and fishing","Denmark",2012,107.066,97.003,96.587,NA,100.572,NA,NA
"Agriculture, forestry and fishing","Denmark",2013,104.673,96.257,97.952,NA,96.819,NA,NA
"Agriculture, forestry and fishing","Denmark",2014,103.487,100.619,96.72,NA,111.883,NA,NA
"Agriculture, forestry and fishing","Denmark",2015,101.275,99.553,101.912,NA,92.79,NA,NA
"Agriculture, forestry and fishing","Denmark",2016,98.956,96.588,102.748,NA,80.627,NA,NA
"Agriculture, forestry and fishing","Denmark",2017,97.348,100.856,103.432,NA,91.889,NA,NA
"Agriculture, forestry and fishing","Denmark",2018,100.903,100.18,102.614,NA,92.131,NA,NA
"Agriculture, forestry and fishing","Denmark",2019,99.836,97.953,98.151,NA,97.276,NA,NA
"Agriculture, forestry and fishing","Denmark",2020,100,100,100,NA,100,NA,NA
"Agriculture, forestry and fishing","Denmark",2021,149.273,103.396,100.384,NA,114.64,NA,NA
"Agriculture, forestry and fishing","Denmark",2022,172.291,107.949,105.279,NA,117.684,NA,NA
"Agriculture, forestry and fishing","Estonia",1995,10.878,45.046,45.149,NA,14.961,NA,NA
"Agriculture, forestry and fishing","Estonia",1996,10.989,44.149,43.435,NA,16.375,NA,NA
"Agriculture, forestry and fishing","Estonia",1997,12.039,48.84,45.612,NA,21.175,NA,NA
"Agriculture, forestry and fishing","Estonia",1998,14.06,54.588,46.555,NA,29.509,NA,NA
"Agriculture, forestry and fishing","Estonia",1999,16.64,49.115,43.048,NA,29.775,NA,NA
"Agriculture, forestry and fishing","Estonia",2000,19.464,55.007,47.713,NA,40.803,NA,NA
"Agriculture, forestry and fishing","Estonia",2001,23.096,54.778,52.993,NA,33.303,NA,NA
"Agriculture, forestry and fishing","Estonia",2002,27.734,58.212,53.543,NA,37.002,NA,NA
"Agriculture, forestry and fishing","Estonia",2003,31.586,61.124,54.681,NA,43.829,NA,NA
"Agriculture, forestry and fishing","Estonia",2004,35.42,62.81,56.576,NA,47.508,NA,NA
"Agriculture, forestry and fishing","Estonia",2005,40.664,64.355,58.894,NA,53.442,NA,NA
"Agriculture, forestry and fishing","Estonia",2006,46.405,64.352,55.818,NA,57.498,NA,NA
"Agriculture, forestry and fishing","Estonia",2007,52.102,74.214,59.372,NA,75.272,NA,NA
"Agriculture, forestry and fishing","Estonia",2008,58.566,73.712,57.393,NA,91.894,NA,NA
"Agriculture, forestry and fishing","Estonia",2009,61.657,61.132,48.324,NA,83.032,NA,NA
"Agriculture, forestry and fishing","Estonia",2010,61.332,68.154,54.527,NA,89.552,NA,NA
"Agriculture, forestry and fishing","Estonia",2011,63.376,75.946,61.898,NA,86.036,NA,NA
"Agriculture, forestry and fishing","Estonia",2012,67.406,78.033,64.085,NA,84.823,NA,NA
"Agriculture, forestry and fishing","Estonia",2013,72.57,80.097,68.898,NA,85.796,NA,NA
"Agriculture, forestry and fishing","Estonia",2014,77.869,83.979,69.206,NA,106.115,NA,NA
"Agriculture, forestry and fishing","Estonia",2015,81.942,94.25,81.93,NA,101.439,NA,NA
"Agriculture, forestry and fishing","Estonia",2016,84.898,85.95,81.375,NA,76.676,NA,NA
"Agriculture, forestry and fishing","Estonia",2017,87.771,87.783,81.448,NA,89.993,NA,NA
"Agriculture, forestry and fishing","Estonia",2018,92.703,88.876,87.389,NA,80.891,NA,NA
"Agriculture, forestry and fishing","Estonia",2019,97.377,101.001,95.956,NA,102.416,NA,NA
"Agriculture, forestry and fishing","Estonia",2020,100,100,100,NA,100,NA,NA
"Agriculture, forestry and fishing","Estonia",2021,103.381,99.081,104.215,NA,99.021,NA,NA
"Agriculture, forestry and fishing","Estonia",2022,107.683,103.039,120.149,NA,72.347,NA,NA
"Agriculture, forestry and fishing","Estonia",2023,112.068,95.079,107.349,NA,69.111,NA,NA
"Agriculture, forestry and fishing","Greece",1995,65.235,104.072,99.152,NA,71.245,NA,NA
"Agriculture, forestry and fishing","Greece",1996,66.648,101.733,96.86,NA,70.804,NA,NA
"Agriculture, forestry and fishing","Greece",1997,69.796,101.82,92.015,NA,76.643,NA,NA
"Agriculture, forestry and fishing","Greece",1998,73.37,103.203,87.647,NA,81.173,NA,NA
"Agriculture, forestry and fishing","Greece",1999,76.808,106.225,91.61,NA,82.512,NA,NA
"Agriculture, forestry and fishing","Greece",2000,80.442,104.433,89.396,NA,85.082,NA,NA
"Agriculture, forestry and fishing","Greece",2001,84.614,102.532,83.93,NA,92.705,NA,NA
"Agriculture, forestry and fishing","Greece",2002,87.868,100.36,79.621,NA,94.012,NA,NA
"Agriculture, forestry and fishing","Greece",2003,90.192,95.885,67.368,NA,98.026,NA,NA
"Agriculture, forestry and fishing","Greece",2004,93.339,100.847,76.255,NA,112.294,NA,NA
"Agriculture, forestry and fishing","Greece",2005,97.804,101.583,73.611,NA,114.326,NA,NA
"Agriculture, forestry and fishing","Greece",2006,100.556,93.7,76.575,NA,99.168,NA,NA
"Agriculture, forestry and fishing","Greece",2007,104.941,88.796,75.418,NA,93.194,NA,NA
"Agriculture, forestry and fishing","Greece",2008,113.163,88.979,73.145,NA,95.902,NA,NA
"Agriculture, forestry and fishing","Greece",2009,118.647,88.893,73.66,NA,92.872,NA,NA
"Agriculture, forestry and fishing","Greece",2010,118.707,88.704,77.604,NA,90.139,NA,NA
"Agriculture, forestry and fishing","Greece",2011,114.62,90.82,79.185,NA,94.575,NA,NA
"Agriculture, forestry and fishing","Greece",2012,109.585,91.716,76.145,NA,100.36,NA,NA
"Agriculture, forestry and fishing","Greece",2013,105.738,90.762,81.583,NA,92.214,NA,NA
"Agriculture, forestry and fishing","Greece",2014,102.877,92.828,80.928,NA,96.739,NA,NA
"Agriculture, forestry and fishing","Greece",2015,100.915,94.5,85.729,NA,98.038,NA,NA
"Agriculture, forestry and fishing","Greece",2016,99.946,93.251,91.073,NA,92.148,NA,NA
"Agriculture, forestry and fishing","Greece",2017,99.508,99.34,92.404,NA,102.286,NA,NA
"Agriculture, forestry and fishing","Greece",2018,99.269,97.909,92.293,NA,98.733,NA,NA
"Agriculture, forestry and fishing","Greece",2019,99.437,101.379,94.54,NA,105.136,NA,NA
"Agriculture, forestry and fishing","Greece",2020,100,100,100,NA,100,NA,NA
"Agriculture, forestry and fishing","Greece",2021,100.978,96.87,96.628,NA,92.599,NA,NA
"Agriculture, forestry and fishing","Greece",2022,102.629,105.181,98.504,NA,106.771,NA,NA
"Agriculture, forestry and fishing","Greece",2023,105.368,92.686,99.556,NA,76.554,NA,NA
"Agriculture, forestry and fishing","Spain",1995,35.688,NA,NA,NA,49.175,NA,NA
"Agriculture, forestry and fishing","Spain",1996,37.261,NA,NA,NA,58.064,NA,NA
"Agriculture, forestry and fishing","Spain",1997,39.608,NA,NA,NA,63.368,NA,NA
"Agriculture, forestry and fishing","Spain",1998,41.682,NA,NA,NA,65.141,NA,NA
"Agriculture, forestry and fishing","Spain",1999,44.006,NA,NA,NA,66.458,NA,NA
"Agriculture, forestry and fishing","Spain",2000,46.878,NA,NA,NA,69.838,NA,NA
"Agriculture, forestry and fishing","Spain",2001,49.704,NA,NA,NA,68.566,NA,NA
"Agriculture, forestry and fishing","Spain",2002,51.755,NA,NA,NA,69.487,NA,NA
"Agriculture, forestry and fishing","Spain",2003,53.624,NA,NA,NA,69.584,NA,NA
"Agriculture, forestry and fishing","Spain",2004,55.743,NA,NA,NA,69.533,NA,NA
"Agriculture, forestry and fishing","Spain",2005,57.885,NA,NA,NA,65.22,NA,NA
"Agriculture, forestry and fishing","Spain",2006,60.483,NA,NA,NA,72.918,NA,NA
"Agriculture, forestry and fishing","Spain",2007,62.557,NA,NA,NA,79.88,NA,NA
"Agriculture, forestry and fishing","Spain",2008,65.155,NA,NA,NA,80.957,NA,NA
