"geo","year","hourly_wages","hicp","business_investment","low_education","middle_education","high_education","hh_index","partime_contracts","productivity_pp","productivity_1","productivity_2","realgdp_pc","tradeunion_density","training_education_l4w","unemployment"
"Estonia",2010,8.40098751693372,80.1092896174863,12.85,18.2,51.8,30,0.0723011934437532,9.8,95.145,88.28,92.86,13190,8.1999998,16.6,16.6
"Estonia",2011,7.99470801676393,84.1803278688525,17.69,17.7,51,31.3,0.0788659325524828,9.3,96.089,95.145,88.28,14240,7,17.2,12.3
"Estonia",2012,8.30153170638739,87.7322404371585,18.42,16.8,51.1,32.1,0.0688449513521425,9.2,98.023,96.089,95.145,14810,6,17.5,9.9
"Estonia",2013,8.54916169329684,90.5828779599271,17.86,15.8,51.9,32.3,0.0794402520067415,8.9,98.517,98.023,96.089,15130,5.5999999,17,8.6
"Estonia",2014,9.11673480738628,91.0109289617486,16.04,17.7,49.7,32.6,0.0683289262075333,8.3,101.017,98.517,98.023,15680,5.3000002,15.7,7.3
"Estonia",2015,9.41403152945515,91.0746812386157,14.34,18.3,49.8,32,0.0693363219107115,9.4,100,101.017,98.517,16000,4.5,15.4,6.4
"Estonia",2016,9.94185357373336,91.8032786885246,14.57,17.3,49.7,33.1,0.0663418524031855,9.7,102.796,100,101.017,16460,5,18.4,6.8
"Estonia",2017,10.2698807625089,95.1548269581057,14.78,17.7,48.7,33.6,0.0612111414617021,9.6,105.744,102.796,100,17390,4.6999998,18.7,5.8
"Estonia",2018,11.3358293408973,98.4061930783242,16.5,17.9,48,34.1,0.061680458904071,11,108.664,105.744,102.796,17990,5.9000001,21,5.4
"Estonia",2019,12.0005656630042,100.63752276867,16.28,17.1,48.2,34.7,0.0605221550031873,11.3,111.289,108.664,105.744,18580,6,21.2,4.5
"Finland",2009,28.2258615549562,85.9011348336218,13.01,24.4,44.7,30.9,0.0399120504348439,13.3,97.412,103.283,104.765,38230,72.5,24.7,8.3
"Finland",2010,28.1787756989588,87.353337180227,12.35,23.6,44.8,31.6,0.0427751701897473,13.9,101.257,97.412,103.283,39260,71.400002,25.6,8.6
"Finland",2011,28.1912918773983,90.2577418734372,12.07,22.9,44.6,32.5,0.0442530778982863,14.1,102.131,101.257,97.412,40010,69.599998,26,8
"Finland",2012,28.2205070617833,93.1044431621466,12.05,21.8,45.4,32.8,0.0422321788687759,14.1,99.963,102.131,101.257,39210,69.199997,26.5,7.9
"Finland",2013,28.0917299106802,95.1721484900942,11.21,20.8,45.6,33.6,0.0431095157233245,14,99.784,99.963,102.131,38650,67.5,26.7,8.3
"Finland",2014,28.0422900753466,96.3262165801116,11.01,20.1,45.2,34.7,0.0452510478104858,14.1,99.853,99.784,99.963,38300,67.800003,26.8,8.7
